datetime,rain_mm_10min
2026-09-07 00:00,1.0
2026-09-07 00:10,0.0
2026-09-07 00:20,0.0
2026-09-07 00:30,0.0
2026-09-07 00:40,0.0
2026-09-07 00:50,0.0
2026-09-07 01:00,0.0
2026-09-07 01:10,0.0
2026-09-07 01:20,0.0
2026-09-07 01:30,0.0
2026-09-07 01:40,0.0
2026-09-07 01:50,0.0
2026-09-07 02:00,0.0
2026-09-07 02:10,1.0
2026-09-07 02:20,0.0
2026-09-07 02:30,0.0
2026-09-07 02:40,0.0
2026-09-07 02:50,0.0
2026-09-07 03:00,0.0
2026-09-07 03:10,0.0
2026-09-07 03:20,0.0
2026-09-07 03:30,1.0
2026-09-07 03:40,0.0
2026-09-07 03:50,0.0
2026-09-07 04:00,0.0
2026-09-07 04:10,1.0
2026-09-07 04:20,0.0
2026-09-07 04:30,1.0
2026-09-07 04:40,0.0
2026-09-07 04:50,1.0
2026-09-07 05:00,0.0
2026-09-07 05:10,1.0
2026-09-07 05:20,1.0
2026-09-07 05:30,0.0
2026-09-07 05:40,1.0
2026-09-07 05:50,1.0
2026-09-07 06:00,1.0
2026-09-07 06:10,0.0
2026-09-07 06:20,1.0
2026-09-07 06:30,1.0
2026-09-07 06:40,0.0
2026-09-07 06:50,1.0
